parameters,median_magnitude,toff
current=2200_tbl=2_toff=3_hstrt=5_hend=2_speed=50,13085.238834762604,3
current=2200_tbl=2_toff=3_hstrt=5_hend=2_speed=51,9597.69467872681,3
current=2200_tbl=2_toff=3_hstrt=5_hend=2_speed=52,10294.174689551095,3
current=2200_tbl=2_toff=3_hstrt=5_hend=2_speed=53,8596.302282875497,3
current=2200_tbl=2_toff=3_hstrt=5_hend=2_speed=54,7511.2810615955295,3
current=2200_tbl=2_toff=3_hstrt=5_hend=2_speed=55,4945.827258056265,3
current=2200_tbl=2_toff=3_hstrt=5_hend=2_speed=56,4163.59706350388,3
current=2200_tbl=2_toff=3_hstrt=5_hend=2_speed=57,3193.642438489553,3
current=2200_tbl=2_toff=3_hstrt=5_hend=2_speed=58,2215.028631638814,3
current=2200_tbl=2_toff=3_hstrt=5_hend=2_speed=59,2010.1634232327865,3
current=2200_tbl=2_toff=3_hstrt=5_hend=2_speed=60,1699.7102129731861,3
current=2200_tbl=2_toff=3_hstrt=5_hend=2_speed=61,1698.495991327421,3
current=2200_tbl=2_toff=3_hstrt=5_hend=2_speed=62,1818.7581437943982,3
current=2200_tbl=2_toff=3_hstrt=5_hend=2_speed=63,1861.7777647071682,3
current=2200_tbl=2_toff=3_hstrt=5_hend=2_speed=64,1976.9147968881337,3
current=2200_tbl=2_toff=3_hstrt=5_hend=2_speed=65,1965.4981214087277,3
current=2200_tbl=2_toff=3_hstrt=5_hend=2_speed=66,2071.09651818446,3
current=2200_tbl=2_toff=3_hstrt=5_hend=2_speed=67,2005.7695009037411,3
current=2200_tbl=2_toff=3_hstrt=5_hend=2_speed=68,2027.2597713145271,3
current=2200_tbl=2_toff=3_hstrt=5_hend=2_speed=69,2271.8841834946566,3
current=2200_tbl=2_toff=3_hstrt=5_hend=2_speed=70,2766.097761409859,3
current=2200_tbl=2_toff=3_hstrt=5_hend=2_speed=71,2973.5753295685763,3
current=2200_tbl=2_toff=3_hstrt=5_hend=2_speed=72,2610.1190766197637,3
current=2200_tbl=2_toff=3_hstrt=5_hend=2_speed=73,2486.910635134012,3
current=2200_tbl=2_toff=3_hstrt=5_hend=2_speed=74,2433.0715018310393,3
current=2200_tbl=2_toff=3_hstrt=5_hend=2_speed=75,2643.3374065399667,3
current=2200_tbl=2_toff=3_hstrt=5_hend=2_speed=76,2841.2217776550788,3
current=2200_tbl=2_toff=3_hstrt=5_hend=2_speed=77,3319.825704339734,3
current=2200_tbl=2_toff=3_hstrt=5_hend=2_speed=78,3478.655547215314,3
current=2200_tbl=2_toff=3_hstrt=5_hend=2_speed=79,3930.0103736377673,3
current=2200_tbl=2_toff=3_hstrt=5_hend=2_speed=80,4521.570327548281,3
current=2200_tbl=2_toff=3_hstrt=5_hend=2_speed=81,4550.528894938254,3
current=2200_tbl=2_toff=3_hstrt=5_hend=2_speed=82,4744.662588842267,3
current=2200_tbl=2_toff=3_hstrt=5_hend=2_speed=83,5283.043452580521,3
current=2200_tbl=2_toff=3_hstrt=5_hend=2_speed=84,5234.609710731608,3
current=2200_tbl=2_toff=3_hstrt=5_hend=2_speed=85,5209.767408613828,3
current=2200_tbl=2_toff=3_hstrt=5_hend=2_speed=86,5220.850840017625,3
current=2200_tbl=2_toff=3_hstrt=5_hend=2_speed=87,5355.94141910082,3
current=2200_tbl=2_toff=3_hstrt=5_hend=2_speed=88,6146.903761350239,3
current=2200_tbl=2_toff=3_hstrt=5_hend=2_speed=89,7418.01416108739,3
current=2200_tbl=2_toff=3_hstrt=5_hend=2_speed=90,8592.78809004056,3
current=2200_tbl=2_toff=3_hstrt=5_hend=2_speed=91,10523.291477744064,3
current=2200_tbl=2_toff=3_hstrt=5_hend=2_speed=92,11720.912956310534,3
current=2200_tbl=2_toff=3_hstrt=5_hend=2_speed=93,12584.835838907498,3
current=2200_tbl=2_toff=3_hstrt=5_hend=2_speed=94,13380.45689220308,3
current=2200_tbl=2_toff=3_hstrt=5_hend=2_speed=95,13433.039189345462,3
current=2200_tbl=2_toff=3_hstrt=5_hend=2_speed=96,12980.437146577218,3
current=2200_tbl=2_toff=3_hstrt=5_hend=2_speed=97,12598.220885325778,3
current=2200_tbl=2_toff=3_hstrt=5_hend=2_speed=98,10819.364189732414,3
current=2200_tbl=2_toff=3_hstrt=5_hend=2_speed=99,9428.255485201917,3
current=2200_tbl=2_toff=3_hstrt=5_hend=2_speed=100,7758.351281052353,3
current=2200_tbl=2_toff=3_hstrt=5_hend=2_speed=101,6446.939145435147,3
current=2200_tbl=2_toff=3_hstrt=5_hend=2_speed=102,4863.008807392054,3
current=2200_tbl=2_toff=3_hstrt=5_hend=2_speed=103,4007.576056605381,3
current=2200_tbl=2_toff=3_hstrt=5_hend=2_speed=104,4170.942534533651,3
current=2200_tbl=2_toff=3_hstrt=5_hend=2_speed=105,3939.866709881028,3
current=2200_tbl=2_toff=3_hstrt=5_hend=2_speed=106,3887.67773484159,3
current=2200_tbl=2_toff=3_hstrt=5_hend=2_speed=107,3731.499816006866,3
current=2200_tbl=2_toff=3_hstrt=5_hend=2_speed=108,3213.257650936889,3
current=2200_tbl=2_toff=3_hstrt=5_hend=2_speed=109,3358.7082154815,3
current=2200_tbl=2_toff=3_hstrt=5_hend=2_speed=110,3441.5997222199294,3
current=2200_tbl=2_toff=3_hstrt=5_hend=2_speed=111,3078.690127328404,3
current=2200_tbl=2_toff=3_hstrt=5_hend=2_speed=112,3511.1569364779393,3
current=2200_tbl=2_toff=3_hstrt=5_hend=2_speed=113,3742.2436525782514,3
current=2200_tbl=2_toff=3_hstrt=5_hend=2_speed=114,3704.967821352893,3
current=2200_tbl=2_toff=3_hstrt=5_hend=2_speed=115,3670.544622876487,3
current=2200_tbl=2_toff=3_hstrt=5_hend=2_speed=116,3480.0097930392294,3
