parameters,median_magnitude,toff
current=2000_tbl=1_toff=3_hstrt=0_hend=2_speed=47,12250.986485505144,3
current=2000_tbl=1_toff=3_hstrt=0_hend=3_speed=47,11749.29089363041,3
current=2000_tbl=1_toff=3_hstrt=0_hend=4_speed=47,11278.262460965876,3
current=2000_tbl=1_toff=3_hstrt=0_hend=5_speed=47,10840.963509361854,3
current=2000_tbl=1_toff=3_hstrt=0_hend=6_speed=47,10343.002159332025,3
current=2000_tbl=1_toff=3_hstrt=0_hend=7_speed=47,9933.481804799452,3
current=2000_tbl=1_toff=3_hstrt=0_hend=8_speed=47,9470.88326510568,3
current=2000_tbl=1_toff=3_hstrt=0_hend=9_speed=47,8967.862566112895,3
current=2000_tbl=1_toff=3_hstrt=0_hend=10_speed=47,8520.728992370965,3
current=2000_tbl=1_toff=3_hstrt=0_hend=11_speed=47,8025.947493518403,3
current=2000_tbl=1_toff=3_hstrt=0_hend=12_speed=47,7769.420114723263,3
current=2000_tbl=1_toff=3_hstrt=0_hend=13_speed=47,7478.383836781341,3
current=2000_tbl=1_toff=3_hstrt=0_hend=14_speed=47,7305.604258961754,3
current=2000_tbl=1_toff=3_hstrt=0_hend=15_speed=47,6985.166845000887,3
current=2000_tbl=1_toff=3_hstrt=1_hend=2_speed=47,11811.410926889366,3
current=2000_tbl=1_toff=3_hstrt=1_hend=3_speed=47,11285.147685293305,3
current=2000_tbl=1_toff=3_hstrt=1_hend=4_speed=47,10819.182992903281,3
current=2000_tbl=1_toff=3_hstrt=1_hend=5_speed=47,10404.54708207165,3
current=2000_tbl=1_toff=3_hstrt=1_hend=6_speed=47,9987.868934045484,3
current=2000_tbl=1_toff=3_hstrt=1_hend=7_speed=47,9503.257935000012,3
current=2000_tbl=1_toff=3_hstrt=1_hend=8_speed=47,9003.307947897241,3
current=2000_tbl=1_toff=3_hstrt=1_hend=9_speed=47,8356.412035535677,3
current=2000_tbl=1_toff=3_hstrt=1_hend=10_speed=47,8185.8703622102375,3
current=2000_tbl=1_toff=3_hstrt=1_hend=11_speed=47,7933.297569405973,3
current=2000_tbl=1_toff=3_hstrt=1_hend=12_speed=47,7656.113310935112,3
current=2000_tbl=1_toff=3_hstrt=1_hend=13_speed=47,7395.6776900251525,3
current=2000_tbl=1_toff=3_hstrt=1_hend=14_speed=47,7133.150851625908,3
current=2000_tbl=1_toff=3_hstrt=2_hend=2_speed=47,11054.760972568763,3
current=2000_tbl=1_toff=3_hstrt=2_hend=3_speed=47,10644.933987817574,3
current=2000_tbl=1_toff=3_hstrt=2_hend=4_speed=47,10181.467477223721,3
current=2000_tbl=1_toff=3_hstrt=2_hend=5_speed=47,9700.24439334359,3
current=2000_tbl=1_toff=3_hstrt=2_hend=6_speed=47,9167.292796172227,3
current=2000_tbl=1_toff=3_hstrt=2_hend=7_speed=47,8727.382301765281,3
current=2000_tbl=1_toff=3_hstrt=2_hend=8_speed=47,8163.920131274601,3
current=2000_tbl=1_toff=3_hstrt=2_hend=9_speed=47,7913.567549401523,3
current=2000_tbl=1_toff=3_hstrt=2_hend=10_speed=47,7718.652875983391,3
current=2000_tbl=1_toff=3_hstrt=2_hend=11_speed=47,7572.771661970577,3
current=2000_tbl=1_toff=3_hstrt=2_hend=12_speed=47,7322.26794469094,3
current=2000_tbl=1_toff=3_hstrt=2_hend=13_speed=47,6962.738547514655,3
current=2000_tbl=1_toff=3_hstrt=3_hend=2_speed=47,10545.413345839228,3
current=2000_tbl=1_toff=3_hstrt=3_hend=3_speed=47,10148.795760861987,3
current=2000_tbl=1_toff=3_hstrt=3_hend=4_speed=47,9636.526951694694,3
current=2000_tbl=1_toff=3_hstrt=3_hend=5_speed=47,9229.133329365766,3
current=2000_tbl=1_toff=3_hstrt=3_hend=6_speed=47,8614.284308694365,3
current=2000_tbl=1_toff=3_hstrt=3_hend=7_speed=47,8159.683732724309,3
current=2000_tbl=1_toff=3_hstrt=3_hend=8_speed=47,7949.724439754898,3
current=2000_tbl=1_toff=3_hstrt=3_hend=9_speed=47,7752.641102215432,3
current=2000_tbl=1_toff=3_hstrt=3_hend=10_speed=47,7507.514925670788,3
current=2000_tbl=1_toff=3_hstrt=3_hend=11_speed=47,7338.942391878287,3
current=2000_tbl=1_toff=3_hstrt=3_hend=12_speed=47,6893.015935051851,3
current=2000_tbl=1_toff=3_hstrt=4_hend=2_speed=47,10251.752882455097,3
current=2000_tbl=1_toff=3_hstrt=4_hend=3_speed=47,9722.413689509402,3
current=2000_tbl=1_toff=3_hstrt=4_hend=4_speed=47,9255.727169572881,3
current=2000_tbl=1_toff=3_hstrt=4_hend=5_speed=47,8592.337123544743,3
current=2000_tbl=1_toff=3_hstrt=4_hend=6_speed=47,8297.067768728211,3
