parameters,median_magnitude,toff
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=5,300.508075527815,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=6,450.00801943139237,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=7,463.01656506487285,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=8,678.1806002046022,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=9,558.0287795200682,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=10,419.36135331325966,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=11,476.87304527657,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=12,973.0242890518866,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=13,763.7615875643925,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=14,476.45214573058047,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=15,568.692196356146,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=16,613.8874988900416,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=17,657.2508742636212,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=18,798.2140507883367,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=19,818.0605549225651,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=20,913.5816773175688,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=21,986.143733721934,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=22,1126.913866367283,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=23,1554.2149604230726,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=24,2170.367235883521,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=25,1933.9074034457794,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=26,1511.9909511528026,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=27,1297.348048899937,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=28,1230.3261656786117,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=29,1236.9012102514846,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=30,1198.641704757482,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=31,1258.40296095286,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=32,1239.9838292633742,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=33,1292.7447467474692,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=34,1283.8413830067125,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=35,1419.7837899728409,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=36,1404.9945645455584,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=37,1420.8694236198833,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=38,1525.8335356701514,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=39,1534.502101357982,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=40,1591.234756575041,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=41,1669.2720051627841,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=42,1673.5041451586856,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=43,1824.812064890081,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=44,2323.97941815822,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=45,2557.697742159607,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=46,2550.0236739851157,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=47,2359.6724908408582,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=48,2178.197249230917,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=49,2160.3819133025136,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=50,2141.4578031090136,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=51,1784.5653684989397,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=52,1917.0006544940077,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=53,1861.6361038855807,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=54,1863.2827257392398,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=55,1877.231215903792,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=56,1794.664562781287,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=57,1785.9011240034795,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=58,1752.0093018615125,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=59,1944.5689636506163,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=60,2055.3324753125535,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=61,2164.088131154322,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=62,2336.951775394993,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=63,2496.379777568473,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=64,2565.788967061233,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=65,2624.486248240434,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=66,2489.28820648515,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=67,2535.5285037450817,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=68,2456.6609120936314,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=69,2414.696874777369,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=70,2355.5099677349017,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=71,2454.326348520808,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=72,2362.3673795407567,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=73,2471.8830545436185,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=74,2474.5252700550154,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=75,2576.6504601490906,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=76,2623.125174178743,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=77,2698.6635668134622,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=78,2813.6545447736025,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=79,3088.06353901445,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=80,3477.6139691078565,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=81,3759.762689519592,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=82,4176.182285544127,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=83,4585.8831337935435,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=84,5169.932105502403,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=85,5657.978254662481,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=86,6154.551206134639,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=87,6602.7601623470055,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=88,8274.842347851569,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=89,10093.496473972002,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=90,12376.902190439809,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=91,14128.997660599494,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=92,15704.79393907051,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=93,16484.88353637361,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=94,16595.67152075228,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=95,14781.337626252807,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=96,14389.856267256873,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=97,12684.11976873973,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=98,11641.052088893128,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=99,10290.992286039886,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=100,9379.157195074615,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=101,8182.69961023633,4
