parameters,median_magnitude,toff
current=2000_tbl=1_toff=3_hstrt=6_hend=6_speed=47,4578.827894442713,3
current=2000_tbl=1_toff=3_hstrt=6_hend=7_speed=47,4389.375500075546,3
current=2000_tbl=1_toff=3_hstrt=6_hend=8_speed=47,4157.645184458042,3
current=2000_tbl=1_toff=3_hstrt=6_hend=9_speed=47,4076.5218857827813,3
current=2000_tbl=1_toff=3_hstrt=7_hend=2_speed=47,5385.92359790035,3
current=2000_tbl=1_toff=3_hstrt=7_hend=3_speed=47,5081.732363821859,3
current=2000_tbl=1_toff=3_hstrt=7_hend=4_speed=47,4757.714260294024,3
current=2000_tbl=1_toff=3_hstrt=7_hend=5_speed=47,4591.05505768613,3
current=2000_tbl=1_toff=3_hstrt=7_hend=6_speed=47,4375.0496294910245,3
current=2000_tbl=1_toff=3_hstrt=7_hend=7_speed=47,4148.631296667109,3
current=2000_tbl=1_toff=3_hstrt=7_hend=8_speed=47,4071.4988374972695,3
