parameters,median_magnitude,toff
current=2000_tbl=2_toff=3_hstrt=5_hend=2_speed=20,4786.121102377321,3
current=2000_tbl=2_toff=3_hstrt=5_hend=2_speed=21,6053.236892519071,3
current=2000_tbl=2_toff=3_hstrt=5_hend=2_speed=22,7398.298525493545,3
current=2000_tbl=2_toff=3_hstrt=5_hend=2_speed=23,8802.004245478638,3
current=2000_tbl=2_toff=3_hstrt=5_hend=2_speed=24,8047.063841262209,3
current=2000_tbl=2_toff=3_hstrt=5_hend=2_speed=25,6904.31303589334,3
current=2000_tbl=2_toff=3_hstrt=5_hend=2_speed=26,4095.700191681793,3
current=2000_tbl=2_toff=3_hstrt=5_hend=2_speed=27,3853.7812442527306,3
current=2000_tbl=2_toff=3_hstrt=5_hend=2_speed=28,3206.532392779253,3
current=2000_tbl=2_toff=3_hstrt=5_hend=2_speed=29,2948.908157931035,3
current=2000_tbl=2_toff=3_hstrt=5_hend=2_speed=30,2600.7665042056924,3
current=2000_tbl=2_toff=3_hstrt=5_hend=2_speed=31,2792.6943560084287,3
current=2000_tbl=2_toff=3_hstrt=5_hend=2_speed=32,2574.9391134209154,3
current=2000_tbl=2_toff=3_hstrt=5_hend=2_speed=33,3016.4451609760017,3
current=2000_tbl=2_toff=3_hstrt=5_hend=2_speed=34,3119.0043453605854,3
current=2000_tbl=2_toff=3_hstrt=5_hend=2_speed=35,3569.62862048419,3
current=2000_tbl=2_toff=3_hstrt=5_hend=2_speed=36,4249.963537994108,3
current=2000_tbl=2_toff=3_hstrt=5_hend=2_speed=37,4908.519773499174,3
current=2000_tbl=2_toff=3_hstrt=5_hend=2_speed=38,5462.046682548038,3
current=2000_tbl=2_toff=3_hstrt=5_hend=2_speed=39,6991.190196557892,3
current=2000_tbl=2_toff=3_hstrt=5_hend=2_speed=40,7644.943463161847,3
current=2000_tbl=2_toff=3_hstrt=5_hend=2_speed=41,10077.089263454502,3
current=2000_tbl=2_toff=3_hstrt=5_hend=2_speed=42,9775.750253531874,3
current=2000_tbl=2_toff=3_hstrt=5_hend=2_speed=43,12857.479501163052,3
current=2000_tbl=2_toff=3_hstrt=5_hend=2_speed=44,10045.040766786271,3
current=2000_tbl=2_toff=3_hstrt=5_hend=2_speed=45,10178.84016451025,3
current=2000_tbl=2_toff=3_hstrt=5_hend=2_speed=46,7252.984801735114,3
current=2000_tbl=2_toff=3_hstrt=5_hend=2_speed=47,7509.486690830328,3
