file_name,median_magnitude,parameters,toff
idm_accel-20240213_163818.csv,20335.666170380086,current=2000_tbl=0_toff=1_hstrt=0_hend=2_speed=47,1
idm_accel-20240213_163822.csv,19722.0684242114,current=2000_tbl=0_toff=1_hstrt=0_hend=3_speed=47,1
idm_accel-20240213_163826.csv,18740.851412455246,current=2000_tbl=0_toff=1_hstrt=0_hend=4_speed=47,1
idm_accel-20240213_163830.csv,18166.172825817965,current=2000_tbl=0_toff=1_hstrt=0_hend=5_speed=47,1
idm_accel-20240213_163834.csv,17070.335679662225,current=2000_tbl=0_toff=1_hstrt=0_hend=6_speed=47,1
idm_accel-20240213_163838.csv,16369.087513242906,current=2000_tbl=0_toff=1_hstrt=0_hend=7_speed=47,1
idm_accel-20240213_163842.csv,15338.70092975146,current=2000_tbl=0_toff=1_hstrt=0_hend=8_speed=47,1
idm_accel-20240213_163846.csv,14761.540653305832,current=2000_tbl=0_toff=1_hstrt=0_hend=9_speed=47,1
idm_accel-20240213_163850.csv,14018.981177023217,current=2000_tbl=0_toff=1_hstrt=0_hend=10_speed=47,1
idm_accel-20240213_163854.csv,13490.94685485648,current=2000_tbl=0_toff=1_hstrt=0_hend=11_speed=47,1
idm_accel-20240213_163858.csv,13087.11623528842,current=2000_tbl=0_toff=1_hstrt=0_hend=12_speed=47,1
idm_accel-20240213_163902.csv,12663.581557083327,current=2000_tbl=0_toff=1_hstrt=0_hend=13_speed=47,1
idm_accel-20240213_163906.csv,11971.26304066896,current=2000_tbl=0_toff=1_hstrt=0_hend=14_speed=47,1
idm_accel-20240213_163910.csv,11769.122918640804,current=2000_tbl=0_toff=1_hstrt=0_hend=15_speed=47,1
idm_accel-20240213_163914.csv,19078.617730627673,current=2000_tbl=0_toff=1_hstrt=1_hend=2_speed=47,1
idm_accel-20240213_163918.csv,18345.84045499543,current=2000_tbl=0_toff=1_hstrt=1_hend=3_speed=47,1
idm_accel-20240213_163922.csv,17491.386497983665,current=2000_tbl=0_toff=1_hstrt=1_hend=4_speed=47,1
idm_accel-20240213_163926.csv,16518.535269804845,current=2000_tbl=0_toff=1_hstrt=1_hend=5_speed=47,1
idm_accel-20240213_163930.csv,15908.02569836031,current=2000_tbl=0_toff=1_hstrt=1_hend=6_speed=47,1
idm_accel-20240213_163934.csv,15097.185659388135,current=2000_tbl=0_toff=1_hstrt=1_hend=7_speed=47,1
idm_accel-20240213_163938.csv,14467.42270211141,current=2000_tbl=0_toff=1_hstrt=1_hend=8_speed=47,1
idm_accel-20240213_163942.csv,13968.63791176099,current=2000_tbl=0_toff=1_hstrt=1_hend=9_speed=47,1
idm_accel-20240213_163946.csv,13376.305191655998,current=2000_tbl=0_toff=1_hstrt=1_hend=10_speed=47,1
idm_accel-20240213_163950.csv,13053.665665187826,current=2000_tbl=0_toff=1_hstrt=1_hend=11_speed=47,1
idm_accel-20240213_163954.csv,12524.210830418597,current=2000_tbl=0_toff=1_hstrt=1_hend=12_speed=47,1
idm_accel-20240213_163958.csv,12019.192217131522,current=2000_tbl=0_toff=1_hstrt=1_hend=13_speed=47,1
idm_accel-20240213_164002.csv,11778.738312476657,current=2000_tbl=0_toff=1_hstrt=1_hend=14_speed=47,1
idm_accel-20240213_164006.csv,18160.468444249236,current=2000_tbl=0_toff=1_hstrt=2_hend=2_speed=47,1
idm_accel-20240213_164010.csv,17311.29161542624,current=2000_tbl=0_toff=1_hstrt=2_hend=3_speed=47,1
idm_accel-20240213_164014.csv,16505.523447237963,current=2000_tbl=0_toff=1_hstrt=2_hend=4_speed=47,1
idm_accel-20240213_164018.csv,15818.253917684475,current=2000_tbl=0_toff=1_hstrt=2_hend=5_speed=47,1
idm_accel-20240213_164022.csv,15067.189351757192,current=2000_tbl=0_toff=1_hstrt=2_hend=6_speed=47,1
idm_accel-20240213_164026.csv,14420.300251462128,current=2000_tbl=0_toff=1_hstrt=2_hend=7_speed=47,1
idm_accel-20240213_164030.csv,13850.219664866077,current=2000_tbl=0_toff=1_hstrt=2_hend=8_speed=47,1
idm_accel-20240213_164034.csv,13303.432314814825,current=2000_tbl=0_toff=1_hstrt=2_hend=9_speed=47,1
idm_accel-20240213_164038.csv,12818.988948617316,current=2000_tbl=0_toff=1_hstrt=2_hend=10_speed=47,1
idm_accel-20240213_164042.csv,12370.694249329023,current=2000_tbl=0_toff=1_hstrt=2_hend=11_speed=47,1
idm_accel-20240213_164046.csv,11983.729053184732,current=2000_tbl=0_toff=1_hstrt=2_hend=12_speed=47,1
idm_accel-20240213_164050.csv,11741.892833668837,current=2000_tbl=0_toff=1_hstrt=2_hend=13_speed=47,1
idm_accel-20240213_164055.csv,17520.747464868407,current=2000_tbl=0_toff=1_hstrt=3_hend=2_speed=47,1
idm_accel-20240213_164059.csv,16435.52529662868,current=2000_tbl=0_toff=1_hstrt=3_hend=3_speed=47,1
idm_accel-20240213_164103.csv,15860.877070639544,current=2000_tbl=0_toff=1_hstrt=3_hend=4_speed=47,1
idm_accel-20240213_164107.csv,15040.259730549307,current=2000_tbl=0_toff=1_hstrt=3_hend=5_speed=47,1
idm_accel-20240213_164111.csv,14501.583599517864,current=2000_tbl=0_toff=1_hstrt=3_hend=6_speed=47,1
idm_accel-20240213_164115.csv,13838.229032319437,current=2000_tbl=0_toff=1_hstrt=3_hend=7_speed=47,1
idm_accel-20240213_164119.csv,13224.79257550236,current=2000_tbl=0_toff=1_hstrt=3_hend=8_speed=47,1
