parameters,median_magnitude,toff
current=2200_tbl=2_toff=3_hstrt=5_hend=2_speed=200,3234.425669518679,3
current=2200_tbl=2_toff=3_hstrt=5_hend=2_speed=201,3034.310343698116,3
current=2200_tbl=2_toff=3_hstrt=5_hend=2_speed=202,3380.236297536623,3
current=2200_tbl=2_toff=3_hstrt=5_hend=2_speed=203,2885.331955919888,3
current=2200_tbl=2_toff=3_hstrt=5_hend=2_speed=204,3041.7919573316176,3
current=2200_tbl=2_toff=3_hstrt=5_hend=2_speed=205,3082.631101077743,3
current=2200_tbl=2_toff=3_hstrt=5_hend=2_speed=206,3358.8501641691882,3
current=2200_tbl=2_toff=3_hstrt=5_hend=2_speed=207,3103.9086306436056,3
current=2200_tbl=2_toff=3_hstrt=5_hend=2_speed=208,3130.2019079017628,3
current=2200_tbl=2_toff=3_hstrt=5_hend=2_speed=209,3251.1283884335453,3
current=2200_tbl=2_toff=3_hstrt=5_hend=2_speed=210,3232.4329292161165,3
current=2200_tbl=2_toff=3_hstrt=5_hend=2_speed=211,2969.2309447624716,3
current=2200_tbl=2_toff=3_hstrt=5_hend=2_speed=212,3230.6611824673264,3
current=2200_tbl=2_toff=3_hstrt=5_hend=2_speed=213,3061.516507240198,3
current=2200_tbl=2_toff=3_hstrt=5_hend=2_speed=214,3448.3565439652393,3
current=2200_tbl=2_toff=3_hstrt=5_hend=2_speed=215,3314.5532578329976,3
current=2200_tbl=2_toff=3_hstrt=5_hend=2_speed=216,3321.41091174296,3
current=2200_tbl=2_toff=3_hstrt=5_hend=2_speed=217,3055.354048986295,3
current=2200_tbl=2_toff=3_hstrt=5_hend=2_speed=218,3445.1522005222173,3
current=2200_tbl=2_toff=3_hstrt=5_hend=2_speed=219,3198.7215157937626,3
current=2200_tbl=2_toff=3_hstrt=5_hend=2_speed=220,3230.614747893132,3
