parameters,median_magnitude,toff
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=450,6010.732775633567,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=451,5409.3844832373925,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=452,5168.251275521308,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=453,5408.7744541943275,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=454,5344.744058274765,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=455,5154.744530543309,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=456,5562.197837047621,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=457,5812.159108801141,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=458,5518.879754058898,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=459,5256.548123981201,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=460,5350.320259171876,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=461,5462.0403864575765,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=462,5358.147074494594,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=463,5168.162542679362,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=464,5311.954960135465,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=465,6053.1147447934945,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=466,5531.766538299351,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=467,5909.42128681818,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=468,6207.6214598572205,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=469,6587.007042502439,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=470,6787.004003758628,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=471,7294.606768695985,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=472,7476.261855732097,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=473,6857.69907226282,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=474,6236.446740863244,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=475,6608.310595943287,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=476,6604.1778418693175,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=477,6713.712703976087,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=478,6683.770205588382,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=479,6524.923016497779,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=480,6204.804463759065,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=481,5923.380713206497,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=482,6207.764571500528,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=483,6823.876273495529,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=484,7084.791840827393,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=485,7282.205910428896,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=486,6822.3758302471,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=487,7146.774020315805,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=488,6535.027512413665,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=489,7046.3171508308005,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=490,6924.308410624582,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=491,6664.7005908390865,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=492,6843.1310317427615,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=493,6508.231958128045,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=494,6346.7732955241645,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=495,6848.260305801325,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=496,6514.448055422482,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=497,6310.154553061837,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=498,6324.281751029812,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=499,6472.67094182087,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=500,7083.382274669671,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=501,6647.549090657099,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=502,6664.779718516795,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=503,6619.686670770896,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=504,7200.189353703014,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=505,7098.61210431324,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=506,6948.637325170806,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=507,6811.663757554366,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=508,6532.268384039917,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=509,6548.854780864208,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=510,6657.985113292075,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=511,6656.280983904088,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=512,6602.8710214026605,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=513,6577.915582345426,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=514,6041.344607590519,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=515,6593.290576180089,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=516,6052.13257503117,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=517,6072.994906007834,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=518,6427.350185913777,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=519,6491.00852027124,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=520,6811.864305666533,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=521,6272.705587805576,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=522,6774.6624132136,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=523,7124.476371869611,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=524,6374.363074760097,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=525,7112.081514981328,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=526,6708.7256503530725,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=527,6848.305598969631,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=528,6693.174713351166,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=529,6424.856103290556,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=530,6541.086881570608,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=531,6681.2916002592065,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=532,7004.499553072467,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=533,6379.825349923482,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=534,6493.205558254142,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=535,6509.7706397493,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=536,6959.964399975253,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=537,6791.443256792817,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=538,7221.207152542216,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=539,6949.654400761606,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=540,6784.91736374204,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=541,7368.258803367473,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=542,7039.825724997252,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=543,7485.1861141723475,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=544,7354.269333705928,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=545,7585.322078642385,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=546,7745.894734495712,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=547,7844.906996354543,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=548,7537.707494531362,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=549,7613.76149838828,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=550,7979.13673066004,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=551,7780.6897989610425,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=552,8209.900075157764,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=553,7666.005883755818,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=554,7967.777945994718,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=555,7400.909142920197,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=556,7775.556105836085,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=557,7038.487054328902,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=558,7955.291136693822,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=559,7955.493510817434,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=560,7449.952326435142,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=561,7942.271641707541,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=562,7884.47168806746,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=563,7446.721568185774,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=564,7509.807282782818,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=565,7618.100176624303,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=566,7882.180218854557,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=567,7841.570038356277,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=568,7822.529814800537,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=569,8065.310285585399,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=570,7791.581236188554,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=571,8113.474163841925,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=572,7791.696003846597,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=573,7829.933610944612,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=574,8004.868377665395,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=575,7935.55141004233,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=576,7736.644589331332,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=577,7937.887414586497,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=578,7856.967363889209,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=579,7908.628302175775,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=580,8341.202042308174,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=581,8241.060524535882,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=582,8118.911161453884,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=583,8132.801027684142,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=584,7708.076137984688,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=585,8053.912184778907,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=586,8036.174874987915,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=587,8389.826488238916,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=588,8574.768318385557,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=589,8192.595654467115,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=590,7861.3129344264535,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=591,7981.7839838175805,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=592,7948.153124262878,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=593,7550.501273896168,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=594,7635.2258056587325,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=595,7962.944778389285,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=596,7959.877644258204,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=597,7973.388907675633,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=598,7950.853534605024,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=599,8616.180605047222,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=600,8511.743498474509,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=601,7893.502394960596,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=602,7896.82187080595,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=603,8401.930101734266,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=604,8933.406472000846,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=605,8120.760751839408,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=606,9594.443372985657,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=607,9112.401972504846,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=608,9094.906909661357,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=609,7855.098703033265,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=610,8608.662086206125,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=611,8705.288142366844,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=612,8449.030003587584,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=613,8483.228648842796,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=614,8821.87635449467,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=615,8855.189094343914,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=616,8549.908336337454,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=617,8453.441920860743,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=618,8472.391966082208,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=619,8624.479306828087,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=620,8546.5734009082,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=621,8754.548715282868,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=622,8681.344846644708,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=623,8795.789892549968,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=624,9326.580531511541,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=625,8584.101643797429,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=626,8507.64661308528,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=627,8554.703320966297,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=628,8603.13162639867,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=629,8898.085416605692,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=630,8200.310899596836,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=631,9277.266345523723,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=632,9822.994905188607,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=633,9395.3915465718,4
current=2200_tbl=0_toff=4_hstrt=0_hend=13_speed=634,8616.791305280844,4
