file_name,median_magnitude,parameters,toff
idm_accel-20240128_190035.csv,8160.56321827745,current=2200_tbl=0_toff=1_hstrt=4_hend=5_speed=47,1
idm_accel-20240128_190038.csv,7756.730089999341,current=2200_tbl=0_toff=1_hstrt=4_hend=6_speed=47,1
idm_accel-20240128_190040.csv,7322.445708534776,current=2200_tbl=0_toff=1_hstrt=4_hend=7_speed=47,1
idm_accel-20240128_190043.csv,6925.7273897970745,current=2200_tbl=0_toff=1_hstrt=4_hend=8_speed=47,1
idm_accel-20240128_190045.csv,6821.649853492008,current=2200_tbl=0_toff=1_hstrt=4_hend=9_speed=47,1
idm_accel-20240128_190048.csv,6451.72802976719,current=2200_tbl=0_toff=1_hstrt=4_hend=10_speed=47,1
idm_accel-20240128_190050.csv,6246.003643287677,current=2200_tbl=0_toff=1_hstrt=4_hend=11_speed=47,1
idm_accel-20240128_190053.csv,9274.426445735662,current=2200_tbl=0_toff=1_hstrt=5_hend=2_speed=47,1
idm_accel-20240128_190055.csv,8662.695850795784,current=2200_tbl=0_toff=1_hstrt=5_hend=3_speed=47,1
idm_accel-20240128_190058.csv,8288.300132323771,current=2200_tbl=0_toff=1_hstrt=5_hend=4_speed=47,1
idm_accel-20240128_190100.csv,7631.565740256778,current=2200_tbl=0_toff=1_hstrt=5_hend=5_speed=47,1
idm_accel-20240128_190103.csv,7288.836997370846,current=2200_tbl=0_toff=1_hstrt=5_hend=6_speed=47,1
idm_accel-20240128_190105.csv,6841.475535364403,current=2200_tbl=0_toff=1_hstrt=5_hend=7_speed=47,1
idm_accel-20240128_190107.csv,6920.3379135482755,current=2200_tbl=0_toff=1_hstrt=5_hend=8_speed=47,1
idm_accel-20240128_190110.csv,6460.693624214828,current=2200_tbl=0_toff=1_hstrt=5_hend=9_speed=47,1
idm_accel-20240128_190112.csv,6149.1395741177075,current=2200_tbl=0_toff=1_hstrt=5_hend=10_speed=47,1
idm_accel-20240128_190115.csv,8750.315440227716,current=2200_tbl=0_toff=1_hstrt=6_hend=2_speed=47,1
idm_accel-20240128_190117.csv,8248.265089357224,current=2200_tbl=0_toff=1_hstrt=6_hend=3_speed=47,1
idm_accel-20240128_190120.csv,7686.8219565769705,current=2200_tbl=0_toff=1_hstrt=6_hend=4_speed=47,1
idm_accel-20240128_190122.csv,7334.449487461189,current=2200_tbl=0_toff=1_hstrt=6_hend=5_speed=47,1
idm_accel-20240128_190125.csv,6866.515265144918,current=2200_tbl=0_toff=1_hstrt=6_hend=6_speed=47,1
idm_accel-20240128_190127.csv,6927.5090337027905,current=2200_tbl=0_toff=1_hstrt=6_hend=7_speed=47,1
idm_accel-20240128_190130.csv,6476.153957940039,current=2200_tbl=0_toff=1_hstrt=6_hend=8_speed=47,1
idm_accel-20240128_190132.csv,6088.699132063773,current=2200_tbl=0_toff=1_hstrt=6_hend=9_speed=47,1
idm_accel-20240128_190135.csv,8226.730535055141,current=2200_tbl=0_toff=1_hstrt=7_hend=2_speed=47,1
