parameters,median_magnitude,toff
current=2200_tbl=0_toff=1_hstrt=6_hend=6_speed=47,6866.515265144918,1
current=2200_tbl=0_toff=1_hstrt=6_hend=7_speed=47,6927.5090337027905,1
current=2200_tbl=0_toff=1_hstrt=6_hend=8_speed=47,6476.153957940039,1
current=2200_tbl=0_toff=1_hstrt=6_hend=9_speed=47,6088.699132063773,1
current=2200_tbl=0_toff=1_hstrt=7_hend=2_speed=47,8226.730535055141,1
current=2200_tbl=0_toff=1_hstrt=7_hend=3_speed=47,7644.36364897391,1
current=2200_tbl=0_toff=1_hstrt=7_hend=4_speed=47,7369.079524833597,1
current=2200_tbl=0_toff=1_hstrt=7_hend=5_speed=47,6959.438099044531,1
current=2200_tbl=0_toff=1_hstrt=7_hend=6_speed=47,6975.533552715977,1
current=2200_tbl=0_toff=1_hstrt=7_hend=7_speed=47,6480.683747324469,1
current=2200_tbl=0_toff=1_hstrt=7_hend=8_speed=47,6173.434008437936,1
current=2200_tbl=0_toff=2_hstrt=0_hend=2_speed=47,10203.279639264148,2
current=2200_tbl=0_toff=2_hstrt=0_hend=3_speed=47,9810.930521310058,2
current=2200_tbl=0_toff=2_hstrt=0_hend=4_speed=47,9409.199730347504,2
current=2200_tbl=0_toff=2_hstrt=0_hend=5_speed=47,8825.645658340696,2
current=2200_tbl=0_toff=2_hstrt=0_hend=6_speed=47,8335.073954469068,2
current=2200_tbl=0_toff=2_hstrt=0_hend=7_speed=47,7969.04997517232,2
current=2200_tbl=0_toff=2_hstrt=0_hend=8_speed=47,7724.873247955422,2
current=2200_tbl=0_toff=2_hstrt=0_hend=9_speed=47,7266.841816833012,2
current=2200_tbl=0_toff=2_hstrt=0_hend=10_speed=47,7037.564325694535,2
current=2200_tbl=0_toff=2_hstrt=0_hend=11_speed=47,6708.31037988262,2
current=2200_tbl=0_toff=2_hstrt=0_hend=12_speed=47,6551.0695154490095,2
current=2200_tbl=0_toff=2_hstrt=0_hend=13_speed=47,6462.040935479936,2
current=2200_tbl=0_toff=2_hstrt=0_hend=14_speed=47,6331.428123181207,2
current=2200_tbl=0_toff=2_hstrt=0_hend=15_speed=47,6230.603118490913,2
current=2200_tbl=0_toff=2_hstrt=1_hend=2_speed=47,9957.103318173413,2
current=2200_tbl=0_toff=2_hstrt=1_hend=3_speed=47,9298.138778391185,2
current=2200_tbl=0_toff=2_hstrt=1_hend=4_speed=47,8992.21474328373,2
current=2200_tbl=0_toff=2_hstrt=1_hend=5_speed=47,8564.438552084786,2
current=2200_tbl=0_toff=2_hstrt=1_hend=6_speed=47,8159.309567519672,2
current=2200_tbl=0_toff=2_hstrt=1_hend=7_speed=47,7780.042933533845,2
current=2200_tbl=0_toff=2_hstrt=1_hend=8_speed=47,7388.018310618301,2
current=2200_tbl=0_toff=2_hstrt=1_hend=9_speed=47,7165.862767559149,2
current=2200_tbl=0_toff=2_hstrt=1_hend=10_speed=47,6921.855214699459,2
current=2200_tbl=0_toff=2_hstrt=1_hend=11_speed=47,6850.597864788043,2
current=2200_tbl=0_toff=2_hstrt=1_hend=12_speed=47,6744.43777676074,2
current=2200_tbl=0_toff=2_hstrt=1_hend=13_speed=47,6600.259368662881,2
current=2200_tbl=0_toff=2_hstrt=1_hend=14_speed=47,6233.883234212027,2
current=2200_tbl=0_toff=2_hstrt=2_hend=2_speed=47,9515.342981216549,2
current=2200_tbl=0_toff=2_hstrt=2_hend=3_speed=47,8946.070122631792,2
current=2200_tbl=0_toff=2_hstrt=2_hend=4_speed=47,8487.523780445026,2
current=2200_tbl=0_toff=2_hstrt=2_hend=5_speed=47,8040.884114782185,2
current=2200_tbl=0_toff=2_hstrt=2_hend=6_speed=47,7787.385168693974,2
current=2200_tbl=0_toff=2_hstrt=2_hend=7_speed=47,7542.9926758349775,2
current=2200_tbl=0_toff=2_hstrt=2_hend=8_speed=47,7210.085728470067,2
current=2200_tbl=0_toff=2_hstrt=2_hend=9_speed=47,6895.543521999259,2
current=2200_tbl=0_toff=2_hstrt=2_hend=10_speed=47,6648.036227536177,2
current=2200_tbl=0_toff=2_hstrt=2_hend=11_speed=47,6768.577049164235,2
current=2200_tbl=0_toff=2_hstrt=2_hend=12_speed=47,6467.504056470305,2
current=2200_tbl=0_toff=2_hstrt=2_hend=13_speed=47,6291.668585987754,2
current=2200_tbl=0_toff=2_hstrt=3_hend=2_speed=47,8881.345597859261,2
current=2200_tbl=0_toff=2_hstrt=3_hend=3_speed=47,8462.976941069473,2
current=2200_tbl=0_toff=2_hstrt=3_hend=4_speed=47,8097.7747396115765,2
current=2200_tbl=0_toff=2_hstrt=3_hend=5_speed=47,7803.1289237133715,2
current=2200_tbl=0_toff=2_hstrt=3_hend=6_speed=47,7346.205046855981,2
current=2200_tbl=0_toff=2_hstrt=3_hend=7_speed=47,7297.213074634679,2
current=2200_tbl=0_toff=2_hstrt=3_hend=8_speed=47,6893.979249245548,2
current=2200_tbl=0_toff=2_hstrt=3_hend=9_speed=47,6741.306639374891,2
current=2200_tbl=0_toff=2_hstrt=3_hend=10_speed=47,6705.825883086391,2
current=2200_tbl=0_toff=2_hstrt=3_hend=11_speed=47,6401.996748550037,2
current=2200_tbl=0_toff=2_hstrt=3_hend=12_speed=47,6150.78538742196,2
current=2200_tbl=0_toff=2_hstrt=4_hend=2_speed=47,8504.356628606623,2
current=2200_tbl=0_toff=2_hstrt=4_hend=3_speed=47,8156.895677136134,2
current=2200_tbl=0_toff=2_hstrt=4_hend=4_speed=47,7840.210568770552,2
current=2200_tbl=0_toff=2_hstrt=4_hend=5_speed=47,7477.201796279313,2
current=2200_tbl=0_toff=2_hstrt=4_hend=6_speed=47,7237.824868582233,2
current=2200_tbl=0_toff=2_hstrt=4_hend=7_speed=47,7021.081175516637,2
current=2200_tbl=0_toff=2_hstrt=4_hend=8_speed=47,6958.0285352155715,2
current=2200_tbl=0_toff=2_hstrt=4_hend=9_speed=47,6615.480296346155,2
current=2200_tbl=0_toff=2_hstrt=4_hend=10_speed=47,6281.439812773964,2
current=2200_tbl=0_toff=2_hstrt=4_hend=11_speed=47,6295.075113137203,2
current=2200_tbl=0_toff=2_hstrt=5_hend=2_speed=47,8083.399222937172,2
current=2200_tbl=0_toff=2_hstrt=5_hend=3_speed=47,7770.429345898315,2
current=2200_tbl=0_toff=2_hstrt=5_hend=4_speed=47,7579.030323592198,2
current=2200_tbl=0_toff=2_hstrt=5_hend=5_speed=47,7303.097582249743,2
current=2200_tbl=0_toff=2_hstrt=5_hend=6_speed=47,7015.684705217739,2
current=2200_tbl=0_toff=2_hstrt=5_hend=7_speed=47,6902.64699135111,2
current=2200_tbl=0_toff=2_hstrt=5_hend=8_speed=47,6617.798599176611,2
current=2200_tbl=0_toff=2_hstrt=5_hend=9_speed=47,6380.53619405419,2
current=2200_tbl=0_toff=2_hstrt=5_hend=10_speed=47,6302.415611778161,2
current=2200_tbl=0_toff=2_hstrt=6_hend=2_speed=47,7922.036646030026,2
current=2200_tbl=0_toff=2_hstrt=6_hend=3_speed=47,7551.012592051047,2
current=2200_tbl=0_toff=2_hstrt=6_hend=4_speed=47,7296.7586118497165,2
current=2200_tbl=0_toff=2_hstrt=6_hend=5_speed=47,7004.486459117556,2
current=2200_tbl=0_toff=2_hstrt=6_hend=6_speed=47,6944.177099329862,2
current=2200_tbl=0_toff=2_hstrt=6_hend=7_speed=47,6528.877608692951,2
current=2200_tbl=0_toff=2_hstrt=6_hend=8_speed=47,6307.85758843588,2
current=2200_tbl=0_toff=2_hstrt=6_hend=9_speed=47,6280.706071466723,2
current=2200_tbl=0_toff=2_hstrt=7_hend=2_speed=47,7667.903711345794,2
current=2200_tbl=0_toff=2_hstrt=7_hend=3_speed=47,7308.836939521077,2
current=2200_tbl=0_toff=2_hstrt=7_hend=4_speed=47,6949.234434488446,2
current=2200_tbl=0_toff=2_hstrt=7_hend=5_speed=47,6908.099544268596,2
current=2200_tbl=0_toff=2_hstrt=7_hend=6_speed=47,6587.122746452767,2
current=2200_tbl=0_toff=2_hstrt=7_hend=7_speed=47,6204.407188308146,2
current=2200_tbl=0_toff=2_hstrt=7_hend=8_speed=47,6221.924256933251,2
current=2200_tbl=0_toff=3_hstrt=0_hend=2_speed=47,8965.483172401673,3
current=2200_tbl=0_toff=3_hstrt=0_hend=3_speed=47,8488.521548301536,3
current=2200_tbl=0_toff=3_hstrt=0_hend=4_speed=47,8231.74494301462,3
current=2200_tbl=0_toff=3_hstrt=0_hend=5_speed=47,7646.881330964436,3
current=2200_tbl=0_toff=3_hstrt=0_hend=6_speed=47,7196.194382880307,3
current=2200_tbl=0_toff=3_hstrt=0_hend=7_speed=47,6995.695607501015,3
current=2200_tbl=0_toff=3_hstrt=0_hend=8_speed=47,6679.110340647386,3
current=2200_tbl=0_toff=3_hstrt=0_hend=9_speed=47,6374.0303409320895,3
current=2200_tbl=0_toff=3_hstrt=0_hend=10_speed=47,6185.668230949041,3
current=2200_tbl=0_toff=3_hstrt=0_hend=11_speed=47,6060.70007139798,3
current=2200_tbl=0_toff=3_hstrt=0_hend=12_speed=47,6094.194716570647,3
current=2200_tbl=0_toff=3_hstrt=0_hend=13_speed=47,5897.702354722862,3
current=2200_tbl=0_toff=3_hstrt=0_hend=14_speed=47,5908.654928653723,3
current=2200_tbl=0_toff=3_hstrt=0_hend=15_speed=47,5755.338102556594,3
current=2200_tbl=0_toff=3_hstrt=1_hend=2_speed=47,8470.318824566973,3
current=2200_tbl=0_toff=3_hstrt=1_hend=3_speed=47,8130.59885643077,3
current=2200_tbl=0_toff=3_hstrt=1_hend=4_speed=47,7837.478467665689,3
current=2200_tbl=0_toff=3_hstrt=1_hend=5_speed=47,7347.197542674802,3
