#time,accel_x,accel_y,accel_z
2953.641796,-33.518823,282.515796,-9830.592017
2953.642041,-4.788403,277.727393,-9864.110840
2953.642287,33.518823,368.707056,-9969.455713
2953.642532,-33.518823,363.918652,-9964.667310
2953.642777,-28.730420,258.573779,-9945.513696
2953.643022,4.788403,186.747729,-10055.646973
2953.643267,110.133276,186.747729,-9979.032520
2953.643512,114.921680,225.054956,-9892.841260
2953.643757,143.652100,220.266553,-9821.015210
2953.644002,162.805713,210.689746,-9840.168823
2953.644247,100.556470,272.938989,-9950.302100
2953.644493,90.979663,325.611426,-9950.302100
2953.644738,124.498486,263.362183,-9758.765967
2953.644983,124.498486,191.536133,-9883.264453
2953.645228,100.556470,148.440503,-9926.360083
2953.645473,19.153613,181.959326,-9873.687646
2953.645718,153.228906,-4.788403,-9849.745630
2953.645963,196.324536,105.344873,-9825.803613
2953.646208,143.652100,306.457812,-9816.226807
2953.646454,148.440503,292.092603,-9763.554370
2953.646699,110.133276,368.707056,-9797.073193
2953.646944,62.249243,502.782349,-9902.418066
2953.647189,162.805713,488.417139,-9926.360083
2953.647434,138.863696,229.843359,-9940.725293
2953.647679,114.921680,172.382520,-9907.206470
2953.647924,162.805713,62.249243,-9797.073193
2953.648169,57.460840,76.614453,-9773.131177
2953.648415,-28.730420,143.652100,-9830.592017
2953.648660,105.344873,296.881006,-9854.534033
2953.648905,129.286890,397.437476,-9897.629663
2953.649150,95.768066,306.457812,-9806.650000
2953.649395,158.017310,100.556470,-9835.380420
2953.649640,114.921680,114.921680,-9916.783276
2953.649885,38.307227,177.170923,-9940.725293
2953.650130,81.402856,28.730420,-9945.513696
2953.650376,67.037646,86.191260,-9873.687646
2953.650621,23.942017,244.208569,-9844.957227
2953.650866,62.249243,402.225879,-9998.186133
2953.651111,19.153613,363.918652,-9864.110840
2953.651356,14.365210,282.515796,-9940.725293
2953.651601,62.249243,205.901343,-10022.128149
2953.651846,52.672437,105.344873,-9873.687646
2953.652091,76.614453,57.460840,-9825.803613
2953.652336,4.788403,114.921680,-9931.148486
2953.652582,4.788403,148.440503,-9840.168823
2953.652827,-28.730420,225.054956,-9955.090503
2953.653072,62.249243,349.553442,-9959.878906
2953.653317,81.402856,339.976636,-9959.878906
2953.653562,110.133276,210.689746,-9753.977563
2953.653807,143.652100,210.689746,-9825.803613
2953.654052,105.344873,225.054956,-10007.762939
2953.654297,158.017310,210.689746,-9931.148486
2953.654543,148.440503,71.826050,-9916.783276
2953.654788,119.710083,86.191260,-10012.551343
2953.655033,105.344873,201.112939,-9931.148486
2953.655278,110.133276,225.054956,-9797.073193
2953.655523,105.344873,205.901343,-9873.687646
2953.655768,105.344873,158.017310,-9878.476050
2953.656013,196.324536,-76.614453,-9969.455713
2953.656258,282.515796,-737.414111,-9859.322437
2953.656504,229.843359,-1450.886206,-9763.554370
2953.656749,253.785376,-2264.914771,-9605.537061
2953.656994,110.133276,-3342.305518,-9686.939917
2953.657239,81.402856,-4592.078784,-9749.189160
2953.657484,-86.191260,-5573.701465,-9677.363110
2953.657729,-330.399829,-6358.999609,-9821.015210
2953.657974,-584.185205,-7019.799268,-9744.400757
2953.658219,-933.738647,-7302.315063,-9749.189160
2953.658465,-1345.541333,-6603.208179,-10141.838232
2953.658710,-1613.691919,-5506.663818,-10314.220752
2953.658955,-2025.494604,-4098.873242,-10381.258398
2953.659200,-2442.085693,-2403.778467,-10644.620581
2953.659445,-2777.273926,-335.188232,-10625.466968
2953.659690,-2940.079639,1656.787549,-10797.849487
2953.659935,-2762.908716,3308.786694,-10702.081421
2953.660180,-2379.836450,4467.580298,-10338.162769
2953.660425,-1910.572925,5401.318945,-10357.316382
