#time,accel_x,accel_y,accel_z
2994.164942,196.324536,220.266553,-9797.073193
2994.165187,110.133276,426.167896,-9792.284790
2994.165433,114.921680,378.283862,-9945.513696
2994.165678,158.017310,292.092603,-9825.803613
2994.165923,148.440503,167.594116,-9763.554370
2994.166168,177.170923,-23.942017,-9701.305127
2994.166414,38.307227,-67.037646,-9816.226807
2994.166659,105.344873,100.556470,-9926.360083
2994.166904,129.286890,225.054956,-9911.994873
2994.167149,95.768066,316.034619,-9907.206470
2994.167395,100.556470,316.034619,-9926.360083
2994.167640,129.286890,311.246216,-9873.687646
2994.167885,0.000000,177.170923,-9945.513696
2994.168130,-4.788403,114.921680,-9916.783276
2994.168376,-67.037646,186.747729,-9907.206470
2994.168621,-124.498486,95.768066,-9878.476050
2994.168866,-62.249243,-9.576807,-9864.110840
2994.169112,-4.788403,71.826050,-9964.667310
2994.169357,28.730420,177.170923,-9907.206470
2994.169602,19.153613,378.283862,-9878.476050
2994.169847,4.788403,354.341846,-9725.247144
2994.170093,-9.576807,268.150586,-9730.035547
2994.170338,71.826050,86.191260,-9979.032520
2994.170583,67.037646,52.672437,-9902.418066
2994.170828,95.768066,23.942017,-9916.783276
2994.171074,181.959326,90.979663,-9955.090503
2994.171319,162.805713,234.631763,-9878.476050
2994.171564,114.921680,373.495459,-9911.994873
2994.171809,162.805713,411.802686,-9878.476050
2994.172055,-52.672437,325.611426,-9959.878906
2994.172300,90.979663,205.901343,-9964.667310
2994.172545,205.901343,134.075293,-9897.629663
2994.172791,148.440503,62.249243,-9797.073193
2994.173036,119.710083,38.307227,-9878.476050
2994.173281,119.710083,177.170923,-9744.400757
2994.173526,76.614453,426.167896,-9888.052856
2994.173772,220.266553,541.089575,-9888.052856
2994.174017,215.478149,497.993945,-9777.919580
2994.174262,225.054956,435.744702,-9816.226807
2994.174507,167.594116,244.208569,-9792.284790
2994.174753,205.901343,9.576807,-9792.284790
2994.174998,201.112939,-62.249243,-9916.783276
2994.175243,172.382520,81.402856,-9844.957227
2994.175489,47.884033,287.304199,-9926.360083
2994.175734,43.095630,311.246216,-9955.090503
2994.175979,81.402856,248.996973,-9959.878906
2994.176224,0.000000,220.266553,-10017.339746
2994.176470,38.307227,124.498486,-10026.916553
2994.176715,57.460840,-9.576807,-10060.435376
2994.176960,95.768066,-47.884033,-9911.994873
2994.177205,76.614453,114.921680,-9811.438403
2994.177451,-43.095630,201.112939,-9950.302100
2994.177696,-62.249243,210.689746,-9998.186133
2994.177941,-67.037646,95.768066,-9988.609326
2994.178186,81.402856,-210.689746,-9907.206470
2994.178432,114.921680,-861.912598,-9792.284790
2994.178677,19.153613,-1479.616626,-9830.592017
2994.178922,28.730420,-2121.262671,-9926.360083
2994.179168,-47.884033,-3088.520142,-9792.284790
2994.179413,100.556470,-4256.890552,-9816.226807
2994.179658,225.054956,-5377.376929,-9787.496387
2994.179903,296.881006,-6660.669019,-9773.131177
